neuron_id;owner_id;created_ts_ns;duration_to_dissolution_ns;staked_icpt;earnings;follows
0;u7tnd-gts2y-fqtiy-qynxh-pftvs-ethb3-zwtvd-tdnrw-vq3mx-ybxjm-aae;1611326356000000000;252288000000000000;1;D;49
1;vdssz-vz2tb-hc2pt-a43ie-2b4ym-5yiou-5sbmg-qlo6t-yulea-sw2uy-qqe;1611326356000000000;252288000000000000;1;D;49
2;ilqei-ofqjz-v7jbw-usmzf-jtdss-6mvzv-puesh-3kfga-nhr3v-zmgig-eqe;1611326356000000000;252288000000000000;1;D;49
3;pkjng-fnb6a-zzirr-kykal-ghbjs-ndmj2-tfoma-bzski-wtbsl-2fgbu-hae;1611326356000000000;252288000000000000;1;D;49
4;ycdnk-omvl5-ntvb2-llowm-gedhi-3djrn-ar6x3-ru3v7-ffigq-wjapg-kqe;1611326356000000000;252288000000000000;1;D;49
5;2q5kv-5vcol-eh2je-udy6s-j74gx-djqza-siucy-2jxyq-u5kw6-imugq-uae;1611326356000000000;252288000000000000;1;D;49
6;rk2pj-vdi6l-fzedn-55amb-tlctf-nramw-4gqfk-gws7o-trioy-f7une-xqe;1611326356000000000;252288000000000000;210000;D;0,1,2,3,4,5
7;vhzvr-sz5bp-j55fv-wst65-i57mw-jdgez-akdj7-kokg7-dxlqt-xvedg-sqe;1611326356000000000;252288000000000000;10000;D;0,1,2,3,4,5
8;67gkg-gkgzz-g2ubz-3cc6h-jr3zm-twsii-7i325-r3gzr-kp2kh-dwxg6-pqe;1611326356000000000;126144000000000000;2000;D;6
9;dzxyh-fo4sw-pxckk-kwqvc-xjten-3yqon-fm62b-2hz4s-raa4g-jzczg-iqe;1611326356000000000;126144000000000000;7000;D;6
10;ob633-g55bt-y6pu5-5iby6-jmcvi-oylqs-q6ahw-cvecq-5ckeh-m4wws-nae;1611326356000000000;126144000000000000;1000;D;6
11;4wwno-x3pip-hus6v-fodcr-3yfvu-arlr5-t7mec-zfrtm-bd4xr-r52gs-6ae;1611326356000000000;126144000000000000;70000;D;6
12;2wxxr-qwylo-n7dhz-6co6m-iektd-vl7dn-ocvyc-xazaf-hbfxq-66spe-aae;1611326356000000000;126144000000000000;2000;D;6
13;wwxec-c2gd2-bu5on-ktpwz-z2ph3-vlr4p-m7ztf-6ck7r-nt3r4-fxbdq-mae;1611326356000000000;126144000000000000;1000;D;6
14;7nxxb-6qgm4-fftx3-xkwpj-sjrcm-tzmk5-dvuqk-l4ei4-3hvii-scwnj-tae;1611326356000000000;126144000000000000;1000;D;6
15;p6fou-ngmgk-rxc6t-7ckzz-hojr2-kk6r3-xnlrk-ewzvu-g6xms-rfafz-zae;1611326356000000000;126144000000000000;7000;D;6
16;wwdbq-xuqhf-eydzu-oyl7p-ga565-zm7s7-yrive-ozgsy-zzgh3-qwb3j-cae;1611326356000000000;126144000000000000;7000;D;6
17;olgti-2hegv-ya7pd-ky2wt-of57j-tzs6q-ydrpy-hdxyy-cjnwx-ox5t4-3qe;1611326356000000000;126144000000000000;1000;D;6
18;6mifr-stcqy-w5pzr-qpijh-jopft-p6jl3-n2sww-jhmzg-uzknn-hte4m-pae;1611326356000000000;126144000000000000;2000;D;6
19;owkm4-f44nz-g23do-jicwx-zzyhm-p66ru-lbeua-fwuly-gnmgc-dx7e2-gqe;1611326356000000000;126144000000000000;28000;D;6
20;myrs2-bc6j6-mydpr-2jmli-l45mu-35ybt-c34mo-kjpve-zmaao-ajusy-nqe;1611326356000000000;126144000000000000;1000;D;6
21;ou3o7-akyjc-ldwd5-anyjn-l2buz-cwhbg-nehlc-abkde-qtc7w-fozdi-hae;1611326356000000000;126144000000000000;7000;D;6
22;5zqo2-omblo-i7knq-qyrfu-mjccn-tljyd-qslab-b7ukn-7tshi-pbeke-pae;1611326356000000000;126144000000000000;2000;D;6
23;qcs4o-yswwp-7ozhg-m2ago-ytjyl-zlckb-raykw-fi5hl-cflyt-4beyv-zqe;1611326356000000000;126144000000000000;1000;D;6
24;abscc-3lezh-oezci-5i3kz-pkwlc-ozz3r-5wv4n-htujn-rtajh-6cgyv-jae;1611326356000000000;126144000000000000;1000;D;6
25;l2kri-jarwr-7whc4-pjdpn-n6hlb-45ltr-l6ghm-twttl-pcsvt-rynko-dqe;1611326356000000000;126144000000000000;1000;D;6
26;7k7b7-4pzhf-aivy6-y654t-uqyup-2auiz-ew2cm-4qkl4-nsl4v-bul5k-5qe;1611326356000000000;126144000000000000;5000;D;6
27;4anlt-yam7x-eodmx-ik7mo-nl3kx-t35fj-52hfy-uv4jj-u2iea-ntg76-pqe;1611326356000000000;126144000000000000;1000;D;6
28;itcvu-rya6z-w5ehy-myljw-7ys2g-umh4a-fmhid-5uknw-2nyrj-dyyx5-2qe;1611326356000000000;126144000000000000;1000;D;6
29;yr4eg-kwk3m-q44vj-ale35-2mtxk-5dyn7-vgppx-z6tcw-kzo4o-ezpm5-fqe;1611326356000000000;126144000000000000;1000;D;6
30;waj5k-wlyvv-jbj4n-vxwjm-dmkyg-uw2nl-ggojp-34kln-wgx3n-d7xih-5qe;1611326356000000000;126144000000000000;2000;D;6
31;chnsu-yaqt5-6osy5-au4zn-li6yu-nufmw-dewrt-utkiu-twd76-ujypw-rae;1611326356000000000;126144000000000000;1000;D;6
32;ruxoj-jnqql-uau6o-xwrtb-ufde4-geddn-mnhni-wpew4-zhzi5-xjrxi-lqe;1611326356000000000;126144000000000000;1000;D;6
33;egb3e-rzi2e-vpsmm-akysp-l2owk-4dgst-b5hmg-xrkwa-cr3uk-zlzds-mae;1611326356000000000;126144000000000000;7000;D;6
34;cmcjw-6c5ve-4zjnt-lipnl-2lp43-oh5wk-ewciz-xyvnv-m2rz5-hkm6a-hqe;1611326356000000000;126144000000000000;1000;D;6
35;q22bo-3uyqa-jvtpt-gapjk-pseor-esx4a-zyb74-vzea4-o7nx2-tafgq-hae;1611326356000000000;126144000000000000;2000;D;6
36;6tg64-cdfoh-kl35i-p6qti-sose3-746lr-jk5ex-phuvu-jfu3d-5svwa-7qe;1611326356000000000;126144000000000000;7000;D;6
37;mdchb-lcweb-e3vhf-vlzuq-gnlyp-uwkpr-uemoo-o5wa6-2jzsw-w7mp5-kqe;1611326356000000000;126144000000000000;1000;D;6
38;bgprp-b2mnt-ci5in-57vuk-p7qvo-tj2tb-5w5su-qwenk-gbe77-mnuiq-sqe;1611326356000000000;126144000000000000;1000;D;6
39;p5jx4-lsrog-ep5o3-5uudg-opdg3-ur45z-xeefi-4ejfz-47t2k-riwfv-dae;1611326356000000000;126144000000000000;1000;D;6
40;3siog-htc6j-ed3wz-sguhu-2objz-g5qct-npoma-t3wwt-bd6wy-chwsi-4ae;1611326356000000000;126144000000000000;2000;D;6
41;sdal5-w2c3d-p3buy-zieck-2wyuj-eu5bn-rkfe6-uuspi-o4n2b-gpei7-iae;1611326356000000000;126144000000000000;2000;D;6
42;a24zv-2ndbz-hqogc-ev63f-qxnpb-7ramd-usexl-ennaq-4om4k-sod6u-gae;1611326356000000000;126144000000000000;7000;D;6
43;xjzdg-xhmwy-xx5ty-y5iyz-2qlix-2sgw5-2lkci-es56m-d2saj-czujr-6ae;1611326356000000000;126144000000000000;28000;D;6
44;sma3p-ivkif-hz7nu-ngmvq-ibnjg-nubke-zf6gh-wbnfc-2dlng-l3die-zqe;1611326356000000000;126144000000000000;7000;D;6
45;usau7-upgoh-sg464-6qnso-lud42-nxho6-ith26-a2jhq-q5bgy-ajeou-4ae;1611326356000000000;126144000000000000;1000;D;6
46;uvawj-nnt3i-4ch3a-hruy4-hyfjn-7owvl-wgkli-uq2hd-e6lkq-v4b2o-4ae;1611326356000000000;126144000000000000;1000;D;6
47;qdj4d-76lh3-w2q5i-kwjcd-643pq-pk42d-cziag-4hkau-35gib-m7s33-6qe;1611326356000000000;126144000000000000;7000;D;6
48;72idx-a7c3y-nrcwc-lboj4-mmsas-sfdpm-gq23i-h2yuy-lykcj-vrxn2-jqe;1611326356000000000;126144000000000000;1000;D;6
49;n7skr-i25om-nh2gh-lkr6a-mdtlw-vlgeg-ardek-jq53t-crqa5-t223h-mae;1611326356000000000;126144000000000000;1;D;
50;r3eu2-7bjc2-5thpv-dgecg-ratzn-u5lna-a6iok-chvod-ninpm-ovgau-dae;1611326356000000000;126144000000000000;1;D;
449479075714955186;2vxsx-fae;1611326356000000000;126144000000000000;10000;D;49
