name,number,replica_version
tdb26-jop6k-aogll-7ltgs-eruif-6kk7m-qpktf-gdiqx-mxtrf-vb5e6-eqe,0,d628aa32d72565c9e5258d033b3c0be194c77b24
snjp4-xlbw4-mnbog-ddwy6-6ckfd-2w5a2-eipqo-7l436-pxqkh-l6fuv-vae,1,8dcee530b947823cb6809e89847e483c0c210d05
qxesv-zoxpm-vc64m-zxguk-5sj74-35vrb-tbgwg-pcird-5gr26-62oxl-cae,2,8dcee530b947823cb6809e89847e483c0c210d05
pae4o-o6dxf-xki7q-ezclx-znyd6-fnk6w-vkv5z-5lfwh-xym2i-otrrw-fqe,3,8dcee530b947823cb6809e89847e483c0c210d05
4zbus-z2bmt-ilreg-xakz4-6tyre-hsqj4-slb4g-zjwqo-snjcc-iqphi-3qe,4,8dcee530b947823cb6809e89847e483c0c210d05
w4asl-4nmyj-qnr7c-6cqq4-tkwmt-o26di-iupkq-vx4kt-asbrx-jzuxh-4ae,5,8dcee530b947823cb6809e89847e483c0c210d05
io67a-2jmkw-zup3h-snbwi-g6a5n-rm5dn-b6png-lvdpl-nqnto-yih6l-gqe,6,8dcee530b947823cb6809e89847e483c0c210d05
5kdm2-62fc6-fwnja-hutkz-ycsnm-4z33i-woh43-4cenu-ev7mi-gii6t-4ae,7,8dcee530b947823cb6809e89847e483c0c210d05
shefu-t3kr5-t5q3w-mqmdq-jabyv-vyvtf-cyyey-3kmo4-toyln-emubw-4qe,8,8dcee530b947823cb6809e89847e483c0c210d05
ejbmu-grnam-gk6ol-6irwa-htwoj-7ihfl-goimw-hlnvh-abms4-47v2e-zqe,9,d628aa32d72565c9e5258d033b3c0be194c77b24
eq6en-6jqla-fbu5s-daskr-h6hx2-376n5-iqabl-qgrng-gfqmv-n3yjr-mqe,10,d628aa32d72565c9e5258d033b3c0be194c77b24
csyj4-zmann-ys6ge-3kzi6-onexi-obayx-2fvak-zersm-euci4-6pslt-lae,11,8dcee530b947823cb6809e89847e483c0c210d05
lspz2-jx4pu-k3e7p-znm7j-q4yum-ork6e-6w4q6-pijwq-znehu-4jabe-kqe,12,8dcee530b947823cb6809e89847e483c0c210d05
lhg73-sax6z-2zank-6oer2-575lz-zgbxx-ptudx-5korm-fy7we-kh4hl-pqe,13,8dcee530b947823cb6809e89847e483c0c210d05
gmq5v-hbozq-uui6y-o55wc-ihop3-562wb-3qspg-nnijg-npqp5-he3cj-3ae,14,8dcee530b947823cb6809e89847e483c0c210d05
pjljw-kztyl-46ud4-ofrj6-nzkhm-3n4nt-wi3jt-ypmav-ijqkt-gjf66-uae,15,d628aa32d72565c9e5258d033b3c0be194c77b24
brlsh-zidhj-3yy3e-6vqbz-7xnih-xeq2l-as5oc-g32c4-i5pdn-2wwof-oae,16,8dcee530b947823cb6809e89847e483c0c210d05
mpubz-g52jc-grhjo-5oze5-qcj74-sex34-omprz-ivnsm-qvvhr-rfzpv-vae,17,d628aa32d72565c9e5258d033b3c0be194c77b24
qdvhd-os4o2-zzrdw-xrcv4-gljou-eztdp-bj326-e6jgr-tkhuc-ql6v2-yqe,18,8dcee530b947823cb6809e89847e483c0c210d05
jtdsg-3h6gi-hs7o5-z2soi-43w3z-soyl3-ajnp3-ekni5-sw553-5kw67-nqe,19,8dcee530b947823cb6809e89847e483c0c210d05
k44fs-gm4pv-afozh-rs7zw-cg32n-u7xov-xqyx3-2pw5q-eucnu-cosd4-uqe,20,8dcee530b947823cb6809e89847e483c0c210d05
opn46-zyspe-hhmyp-4zu6u-7sbrh-dok77-m7dch-im62f-vyimr-a3n2c-4ae,21,d628aa32d72565c9e5258d033b3c0be194c77b24
6pbhf-qzpdk-kuqbr-pklfa-5ehhf-jfjps-zsj6q-57nrl-kzhpd-mu7hc-vae,22,8dcee530b947823cb6809e89847e483c0c210d05
e66qm-3cydn-nkf4i-ml4rb-4ro6o-srm5s-x5hwq-hnprz-3meqp-s7vks-5qe,23,8dcee530b947823cb6809e89847e483c0c210d05
4ecnw-byqwz-dtgss-ua2mh-pfvs7-c3lct-gtf4e-hnu75-j7eek-iifqm-sqe,24,8dcee530b947823cb6809e89847e483c0c210d05
yinp6-35cfo-wgcd2-oc4ty-2kqpf-t4dul-rfk33-fsq3r-mfmua-m2ngh-jqe,25,8dcee530b947823cb6809e89847e483c0c210d05
w4rem-dv5e3-widiz-wbpea-kbttk-mnzfm-tzrc7-svcj3-kbxyb-zamch-hqe,26,d628aa32d72565c9e5258d033b3c0be194c77b24
cv73p-6v7zi-u67oy-7jc3h-qspsz-g5lrj-4fn7k-xrax3-thek2-sl46v-jae,27,8dcee530b947823cb6809e89847e483c0c210d05
o3ow2-2ipam-6fcjo-3j5vt-fzbge-2g7my-5fz2m-p4o2t-dwlc4-gt2q7-5ae,28,d628aa32d72565c9e5258d033b3c0be194c77b24
fuqsr-in2lc-zbcjj-ydmcw-pzq7h-4xm2z-pto4i-dcyee-5z4rz-x63ji-nae,29,d628aa32d72565c9e5258d033b3c0be194c77b24
3hhby-wmtmw-umt4t-7ieyg-bbiig-xiylg-sblrt-voxgt-bqckd-a75bf-rqe,30,d628aa32d72565c9e5258d033b3c0be194c77b24
nl6hn-ja4yw-wvmpy-3z2jx-ymc34-pisx3-3cp5z-3oj4a-qzzny-jbsv3-4qe,31,8dcee530b947823cb6809e89847e483c0c210d05
x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,32,d628aa32d72565c9e5258d033b3c0be194c77b24
uzr34-akd3s-xrdag-3ql62-ocgoh-ld2ao-tamcv-54e7j-krwgb-2gm4z-oqe,33,d628aa32d72565c9e5258d033b3c0be194c77b24
2fq7c-slacv-26cgz-vzbx2-2jrcs-5edph-i5s2j-tck77-c3rlz-iobzx-mqe,34,d628aa32d72565c9e5258d033b3c0be194c77b24
pzp6e-ekpqk-3c5x7-2h6so-njoeq-mt45d-h3h6c-q3mxf-vpeq5-fk5o7-yae,35,d628aa32d72565c9e5258d033b3c0be194c77b24
unassigned,,
