day,subnet_id,failure_rate
14-06-2025,brlsh,0.0008
14-06-2025,o3ow2,0.0085
14-06-2025,4ecnw,0.0001
14-06-2025,opn46,0.0000
14-06-2025,lhg73,0.0005
14-06-2025,nl6hn,0.0020
14-06-2025,io67a,0.0001
14-06-2025,ejbmu,0.0002
14-06-2025,gmq5v,0.0007
14-06-2025,6pbhf,0.0012
14-06-2025,eq6en,0.0177
14-06-2025,pjljw,0.0108
14-06-2025,4zbus,0.0021
14-06-2025,uzr34,0.0027
14-06-2025,5kdm2,0.0000
14-06-2025,pzp6e,0.0017
14-06-2025,e66qm,0.0000
14-06-2025,qdvhd,0.0006
14-06-2025,bkfrj,0.0036
14-06-2025,2fq7c,0.0247
14-06-2025,snjp4,0.0000
14-06-2025,shefu,0.0002
14-06-2025,csyj4,0.0001
14-06-2025,3hhby,0.0043
14-06-2025,k44fs,0.0049
14-06-2025,x33ed,0.0019
14-06-2025,yinp6,0.0001
14-06-2025,w4asl,0.0007
14-06-2025,mpubz,0.0010
14-06-2025,fuqsr,0.0009
14-06-2025,w4rem,0.0003
14-06-2025,cv73p,0.0008
14-06-2025,pae4o,0.0000
14-06-2025,tdb26,0.0028
14-06-2025,qxesv,0.0001
14-06-2025,lspz2,0.0021
14-06-2025,jtdsg,0.0005
15-06-2025,brlsh,0.0010
15-06-2025,o3ow2,0.0075
15-06-2025,4ecnw,0.0000
15-06-2025,opn46,0.0000
15-06-2025,lhg73,0.0005
15-06-2025,nl6hn,0.0006
15-06-2025,io67a,0.0001
15-06-2025,ejbmu,0.0000
15-06-2025,gmq5v,0.0006
15-06-2025,6pbhf,0.0032
15-06-2025,eq6en,0.0686
15-06-2025,pjljw,0.0061
15-06-2025,4zbus,0.0026
15-06-2025,uzr34,0.0022
15-06-2025,5kdm2,0.0001
15-06-2025,pzp6e,0.0019
15-06-2025,e66qm,0.0001
15-06-2025,qdvhd,0.0007
15-06-2025,bkfrj,0.0213
15-06-2025,2fq7c,0.0208
15-06-2025,snjp4,0.0001
15-06-2025,shefu,0.0002
15-06-2025,csyj4,0.0000
15-06-2025,3hhby,0.0085
15-06-2025,k44fs,0.0039
15-06-2025,x33ed,0.0019
15-06-2025,yinp6,0.0001
15-06-2025,w4asl,0.0006
15-06-2025,mpubz,0.0023
15-06-2025,fuqsr,0.0004
15-06-2025,w4rem,0.0001
15-06-2025,cv73p,0.0011
15-06-2025,pae4o,0.0000
15-06-2025,tdb26,0.0018
15-06-2025,qxesv,0.0001
15-06-2025,lspz2,0.0007
15-06-2025,jtdsg,0.0005
16-06-2025,brlsh,0.0011
16-06-2025,o3ow2,0.0092
16-06-2025,4ecnw,0.0001
16-06-2025,opn46,0.0002
16-06-2025,lhg73,0.0002
16-06-2025,nl6hn,0.0018
16-06-2025,io67a,0.0007
16-06-2025,ejbmu,0.0011
16-06-2025,gmq5v,0.0015
16-06-2025,6pbhf,0.0090
16-06-2025,eq6en,0.1739
16-06-2025,pjljw,0.0091
16-06-2025,4zbus,0.0067
16-06-2025,uzr34,0.0020
16-06-2025,5kdm2,0.0001
16-06-2025,pzp6e,0.0039
16-06-2025,e66qm,0.0004
16-06-2025,qdvhd,0.0012
16-06-2025,bkfrj,0.0257
16-06-2025,2fq7c,0.0408
16-06-2025,snjp4,0.0001
16-06-2025,shefu,0.0017
16-06-2025,csyj4,0.0000
16-06-2025,3hhby,0.0093
16-06-2025,k44fs,0.0068
16-06-2025,x33ed,0.0006
16-06-2025,yinp6,0.0008
16-06-2025,w4asl,0.0005
16-06-2025,mpubz,0.0028
16-06-2025,fuqsr,0.0006
16-06-2025,w4rem,0.0000
16-06-2025,cv73p,0.0024
16-06-2025,pae4o,0.0002
16-06-2025,tdb26,0.0021
16-06-2025,qxesv,0.0008
16-06-2025,lspz2,0.0007
16-06-2025,jtdsg,0.0017
17-06-2025,brlsh,0.0004
17-06-2025,o3ow2,0.0043
17-06-2025,4ecnw,0.0001
17-06-2025,opn46,0.0000
17-06-2025,lhg73,0.0009
17-06-2025,nl6hn,0.0049
17-06-2025,io67a,0.0003
17-06-2025,ejbmu,0.0018
17-06-2025,gmq5v,0.0015
17-06-2025,6pbhf,0.0040
17-06-2025,eq6en,0.0396
17-06-2025,pjljw,0.0098
17-06-2025,4zbus,0.0083
17-06-2025,uzr34,0.0012
17-06-2025,5kdm2,0.0003
17-06-2025,pzp6e,0.0019
17-06-2025,e66qm,0.0005
17-06-2025,qdvhd,0.0016
17-06-2025,bkfrj,0.0203
17-06-2025,2fq7c,0.0363
17-06-2025,snjp4,0.0004
17-06-2025,shefu,0.0004
17-06-2025,csyj4,0.0001
17-06-2025,3hhby,0.0096
17-06-2025,k44fs,0.0051
17-06-2025,x33ed,0.0006
17-06-2025,yinp6,0.0001
17-06-2025,w4asl,0.0018
17-06-2025,mpubz,0.0037
17-06-2025,fuqsr,0.0003
17-06-2025,w4rem,0.0002
17-06-2025,cv73p,0.0017
17-06-2025,pae4o,0.0003
17-06-2025,tdb26,0.0020
17-06-2025,qxesv,0.0010
17-06-2025,lspz2,0.0014
17-06-2025,jtdsg,0.0007
18-06-2025,brlsh,0.0032
18-06-2025,o3ow2,0.0070
18-06-2025,4ecnw,0.0004
18-06-2025,opn46,0.0006
18-06-2025,lhg73,0.0009
18-06-2025,nl6hn,0.0020
18-06-2025,io67a,0.0006
18-06-2025,ejbmu,0.0009
18-06-2025,gmq5v,0.0015
18-06-2025,6pbhf,0.0064
18-06-2025,eq6en,0.0886
18-06-2025,pjljw,0.0142
18-06-2025,4zbus,0.0026
18-06-2025,uzr34,0.0007
18-06-2025,5kdm2,0.0002
18-06-2025,pzp6e,0.0027
18-06-2025,e66qm,0.0008
18-06-2025,qdvhd,0.0003
18-06-2025,bkfrj,0.0250
18-06-2025,2fq7c,0.0181
18-06-2025,snjp4,0.0000
18-06-2025,shefu,0.0003
18-06-2025,csyj4,0.0004
18-06-2025,3hhby,0.0064
18-06-2025,k44fs,0.0165
18-06-2025,x33ed,0.0015
18-06-2025,yinp6,0.0003
18-06-2025,w4asl,0.0005
18-06-2025,mpubz,0.0038
18-06-2025,fuqsr,0.0014
18-06-2025,w4rem,0.0000
18-06-2025,cv73p,0.0087
18-06-2025,pae4o,0.0002
18-06-2025,tdb26,0.0026
18-06-2025,qxesv,0.0005
18-06-2025,lspz2,0.0014
18-06-2025,jtdsg,0.0010
19-06-2025,brlsh,0.0006
19-06-2025,o3ow2,0.0070
19-06-2025,4ecnw,0.0003
19-06-2025,opn46,0.0008
19-06-2025,lhg73,0.0006
19-06-2025,nl6hn,0.0043
19-06-2025,io67a,0.0005
19-06-2025,ejbmu,0.0012
19-06-2025,gmq5v,0.0043
19-06-2025,6pbhf,0.0204
19-06-2025,eq6en,0.0273
19-06-2025,pjljw,0.0052
19-06-2025,4zbus,0.0132
19-06-2025,uzr34,0.0012
19-06-2025,5kdm2,0.0003
19-06-2025,pzp6e,0.0021
19-06-2025,e66qm,0.0012
19-06-2025,qdvhd,0.0044
19-06-2025,bkfrj,0.0165
19-06-2025,2fq7c,0.0195
19-06-2025,snjp4,0.0001
19-06-2025,shefu,0.0009
19-06-2025,csyj4,0.0004
19-06-2025,3hhby,0.0088
19-06-2025,k44fs,0.0059
19-06-2025,x33ed,0.0018
19-06-2025,yinp6,0.0012
19-06-2025,w4asl,0.0028
19-06-2025,mpubz,0.0149
19-06-2025,fuqsr,0.0024
19-06-2025,w4rem,0.0008
19-06-2025,cv73p,0.0080
19-06-2025,pae4o,0.0003
19-06-2025,tdb26,0.0035
19-06-2025,qxesv,0.0002
19-06-2025,lspz2,0.0033
19-06-2025,jtdsg,0.0021
20-06-2025,brlsh,0.0003
20-06-2025,o3ow2,0.0014
20-06-2025,4ecnw,0.0001
20-06-2025,opn46,0.0002
20-06-2025,lhg73,0.0002
20-06-2025,nl6hn,0.0018
20-06-2025,io67a,0.0004
20-06-2025,ejbmu,0.0004
20-06-2025,gmq5v,0.0009
20-06-2025,6pbhf,0.0070
20-06-2025,eq6en,0.0316
20-06-2025,pjljw,0.0041
20-06-2025,4zbus,0.0060
20-06-2025,uzr34,0.0009
20-06-2025,5kdm2,0.0001
20-06-2025,pzp6e,0.0009
20-06-2025,e66qm,0.0001
20-06-2025,qdvhd,0.0001
20-06-2025,bkfrj,0.0042
20-06-2025,2fq7c,0.0299
20-06-2025,snjp4,0.0001
20-06-2025,shefu,0.0003
20-06-2025,csyj4,0.0001
20-06-2025,3hhby,0.0085
20-06-2025,k44fs,0.0045
20-06-2025,x33ed,0.0005
20-06-2025,yinp6,0.0001
20-06-2025,w4asl,0.0007
20-06-2025,mpubz,0.0034
20-06-2025,fuqsr,0.0001
20-06-2025,w4rem,0.0002
20-06-2025,cv73p,0.0009
20-06-2025,pae4o,0.0000
20-06-2025,tdb26,0.0017
20-06-2025,qxesv,0.0002
20-06-2025,lspz2,0.0013
20-06-2025,jtdsg,0.0005
21-06-2025,brlsh,0.0011
21-06-2025,o3ow2,0.0010
21-06-2025,4ecnw,0.0000
21-06-2025,opn46,0.0000
21-06-2025,lhg73,0.0003
21-06-2025,nl6hn,0.0014
21-06-2025,io67a,0.0003
21-06-2025,ejbmu,0.0002
21-06-2025,gmq5v,0.0011
21-06-2025,6pbhf,0.0045
21-06-2025,eq6en,0.0714
21-06-2025,pjljw,0.0064
21-06-2025,4zbus,0.0030
21-06-2025,uzr34,0.0006
21-06-2025,5kdm2,0.0001
21-06-2025,pzp6e,0.0014
21-06-2025,e66qm,0.0003
21-06-2025,qdvhd,0.0000
21-06-2025,bkfrj,0.0020
21-06-2025,2fq7c,0.0072
21-06-2025,snjp4,0.0001
21-06-2025,shefu,0.0001
21-06-2025,csyj4,0.0001
21-06-2025,3hhby,0.0086
21-06-2025,k44fs,0.0050
21-06-2025,x33ed,0.0007
21-06-2025,yinp6,0.0001
21-06-2025,w4asl,0.0003
21-06-2025,mpubz,0.0039
21-06-2025,fuqsr,0.0002
21-06-2025,w4rem,0.0000
21-06-2025,cv73p,0.0020
21-06-2025,pae4o,0.0000
21-06-2025,tdb26,0.0012
21-06-2025,qxesv,0.0002
21-06-2025,lspz2,0.0019
21-06-2025,jtdsg,0.0007
22-06-2025,brlsh,0.0036
22-06-2025,o3ow2,0.0009
22-06-2025,4ecnw,0.0001
22-06-2025,opn46,0.0003
22-06-2025,lhg73,0.0003
22-06-2025,nl6hn,0.0021
22-06-2025,io67a,0.0002
22-06-2025,ejbmu,0.0003
22-06-2025,gmq5v,0.0012
22-06-2025,6pbhf,0.0030
22-06-2025,eq6en,0.0369
22-06-2025,pjljw,0.0065
22-06-2025,4zbus,0.0033
22-06-2025,uzr34,0.0008
22-06-2025,5kdm2,0.0003
22-06-2025,pzp6e,0.0013
22-06-2025,e66qm,0.0003
22-06-2025,qdvhd,0.0002
22-06-2025,bkfrj,0.0000
22-06-2025,2fq7c,0.0433
22-06-2025,snjp4,0.0001
22-06-2025,shefu,0.0007
22-06-2025,csyj4,0.0000
22-06-2025,3hhby,0.0109
22-06-2025,k44fs,0.0055
22-06-2025,x33ed,0.0015
22-06-2025,yinp6,0.0009
22-06-2025,w4asl,0.0007
22-06-2025,mpubz,0.0028
22-06-2025,fuqsr,0.0007
22-06-2025,w4rem,0.0001
22-06-2025,cv73p,0.0029
22-06-2025,pae4o,0.0000
22-06-2025,tdb26,0.0025
22-06-2025,qxesv,0.0000
22-06-2025,lspz2,0.0010
22-06-2025,jtdsg,0.0037
23-06-2025,brlsh,0.0080
23-06-2025,o3ow2,0.0042
23-06-2025,4ecnw,0.0002
23-06-2025,opn46,0.0006
23-06-2025,lhg73,0.0005
23-06-2025,nl6hn,0.0029
23-06-2025,io67a,0.0006
23-06-2025,ejbmu,0.0004
23-06-2025,gmq5v,0.0061
23-06-2025,6pbhf,0.0024
23-06-2025,eq6en,0.0597
23-06-2025,pjljw,0.0080
23-06-2025,4zbus,0.0082
23-06-2025,uzr34,0.0036
23-06-2025,5kdm2,0.0002
23-06-2025,pzp6e,0.0027
23-06-2025,e66qm,0.0005
23-06-2025,qdvhd,0.0016
23-06-2025,bkfrj,0.0031
23-06-2025,2fq7c,0.1761
23-06-2025,snjp4,0.0002
23-06-2025,shefu,0.0018
23-06-2025,csyj4,0.0001
23-06-2025,3hhby,0.0111
23-06-2025,k44fs,0.0061
23-06-2025,x33ed,0.0009
23-06-2025,yinp6,0.0008
23-06-2025,w4asl,0.0010
23-06-2025,mpubz,0.0044
23-06-2025,fuqsr,0.0004
23-06-2025,w4rem,0.0003
23-06-2025,cv73p,0.0079
23-06-2025,pae4o,0.0001
23-06-2025,tdb26,0.0028
23-06-2025,qxesv,0.0007
23-06-2025,lspz2,0.0016
23-06-2025,jtdsg,0.0066
24-06-2025,brlsh,0.0049
24-06-2025,o3ow2,0.0004
24-06-2025,4ecnw,0.0004
24-06-2025,opn46,0.0005
24-06-2025,lhg73,0.0009
24-06-2025,nl6hn,0.0017
24-06-2025,io67a,0.0003
24-06-2025,ejbmu,0.0076
24-06-2025,gmq5v,0.0026
24-06-2025,6pbhf,0.0387
24-06-2025,eq6en,0.0963
24-06-2025,pjljw,0.0198
24-06-2025,4zbus,0.0046
24-06-2025,uzr34,0.0009
24-06-2025,5kdm2,0.0000
24-06-2025,pzp6e,0.0031
24-06-2025,e66qm,0.0006
24-06-2025,qdvhd,0.0106
24-06-2025,bkfrj,0.0170
24-06-2025,2fq7c,0.0587
24-06-2025,snjp4,0.0009
24-06-2025,shefu,0.0063
24-06-2025,csyj4,0.0003
24-06-2025,3hhby,0.0112
24-06-2025,k44fs,0.0090
24-06-2025,x33ed,0.0007
24-06-2025,yinp6,0.0011
24-06-2025,w4asl,0.0014
24-06-2025,mpubz,0.0049
24-06-2025,fuqsr,0.0052
24-06-2025,w4rem,0.0003
24-06-2025,cv73p,0.0089
24-06-2025,pae4o,0.0004
24-06-2025,tdb26,0.0031
24-06-2025,qxesv,0.0082
24-06-2025,lspz2,0.0103
24-06-2025,jtdsg,0.0009
25-06-2025,brlsh,0.0019
25-06-2025,o3ow2,0.0030
25-06-2025,4ecnw,0.0005
25-06-2025,opn46,0.0005
25-06-2025,lhg73,0.0009
25-06-2025,nl6hn,0.0011
25-06-2025,io67a,0.0004
25-06-2025,ejbmu,0.0001
25-06-2025,gmq5v,0.0012
25-06-2025,6pbhf,0.0227
25-06-2025,eq6en,0.0488
25-06-2025,pjljw,0.0043
25-06-2025,4zbus,0.0023
25-06-2025,uzr34,0.0019
25-06-2025,5kdm2,0.0002
25-06-2025,pzp6e,0.0018
25-06-2025,e66qm,0.0004
25-06-2025,qdvhd,0.0017
25-06-2025,bkfrj,0.0068
25-06-2025,2fq7c,0.0192
25-06-2025,snjp4,0.0004
25-06-2025,shefu,0.0001
25-06-2025,csyj4,0.0002
25-06-2025,3hhby,0.0060
25-06-2025,k44fs,0.0069
25-06-2025,x33ed,0.0005
25-06-2025,yinp6,0.0003
25-06-2025,w4asl,0.0005
25-06-2025,mpubz,0.0021
25-06-2025,fuqsr,0.0004
25-06-2025,w4rem,0.0000
25-06-2025,cv73p,0.0018
25-06-2025,pae4o,0.0003
25-06-2025,tdb26,0.0031
25-06-2025,qxesv,0.0005
25-06-2025,lspz2,0.0059
25-06-2025,jtdsg,0.0006
26-06-2025,brlsh,0.0015
26-06-2025,o3ow2,0.0062
26-06-2025,4ecnw,0.0006
26-06-2025,opn46,0.0060
26-06-2025,lhg73,0.0013
26-06-2025,nl6hn,0.0015
26-06-2025,io67a,0.0005
26-06-2025,ejbmu,0.0053
26-06-2025,gmq5v,0.0061
26-06-2025,6pbhf,0.0169
26-06-2025,eq6en,0.0385
26-06-2025,pjljw,0.0124
26-06-2025,4zbus,0.0032
26-06-2025,uzr34,0.0015
26-06-2025,5kdm2,0.0004
26-06-2025,pzp6e,0.0028
26-06-2025,e66qm,0.0011
26-06-2025,qdvhd,0.0046
26-06-2025,bkfrj,0.0182
26-06-2025,2fq7c,0.0130
26-06-2025,snjp4,0.0005
26-06-2025,shefu,0.0032
26-06-2025,csyj4,0.0001
26-06-2025,3hhby,0.0084
26-06-2025,k44fs,0.0062
26-06-2025,x33ed,0.0033
26-06-2025,yinp6,0.0017
26-06-2025,w4asl,0.0009
26-06-2025,mpubz,0.0054
26-06-2025,fuqsr,0.0051
26-06-2025,w4rem,0.0015
26-06-2025,cv73p,0.0104
26-06-2025,pae4o,0.0009
26-06-2025,tdb26,0.0032
26-06-2025,qxesv,0.0061
26-06-2025,lspz2,0.0005
26-06-2025,jtdsg,0.0048
27-06-2025,brlsh,0.0016
27-06-2025,o3ow2,0.0040
27-06-2025,4ecnw,0.0011
27-06-2025,opn46,0.0041
27-06-2025,lhg73,0.0005
27-06-2025,nl6hn,0.0053
27-06-2025,io67a,0.0031
27-06-2025,ejbmu,0.0024
27-06-2025,gmq5v,0.0052
27-06-2025,6pbhf,0.0368
27-06-2025,eq6en,0.0377
27-06-2025,pjljw,0.0057
27-06-2025,4zbus,0.0074
27-06-2025,uzr34,0.0019
27-06-2025,5kdm2,0.0014
27-06-2025,pzp6e,0.0047
27-06-2025,e66qm,0.0025
27-06-2025,qdvhd,0.0065
27-06-2025,bkfrj,0.0090
27-06-2025,2fq7c,0.0261
27-06-2025,snjp4,0.0008
27-06-2025,shefu,0.0039
27-06-2025,csyj4,0.0035
27-06-2025,3hhby,0.0126
27-06-2025,k44fs,0.0062
27-06-2025,x33ed,0.0011
27-06-2025,yinp6,0.0016
27-06-2025,w4asl,0.0020
27-06-2025,mpubz,0.0061
27-06-2025,fuqsr,0.0057
27-06-2025,w4rem,0.0018
27-06-2025,cv73p,0.0079
27-06-2025,pae4o,0.0033
27-06-2025,tdb26,0.0034
27-06-2025,qxesv,0.0023
27-06-2025,lspz2,0.0023
27-06-2025,jtdsg,0.0052
28-06-2025,brlsh,0.0007
28-06-2025,o3ow2,0.0025
28-06-2025,4ecnw,0.0000
28-06-2025,opn46,0.0009
28-06-2025,lhg73,0.0004
28-06-2025,nl6hn,0.0025
28-06-2025,io67a,0.0002
28-06-2025,ejbmu,0.0000
28-06-2025,gmq5v,0.0007
28-06-2025,6pbhf,0.0017
28-06-2025,eq6en,0.0236
28-06-2025,pjljw,0.0041
28-06-2025,4zbus,0.0038
28-06-2025,uzr34,0.0017
28-06-2025,5kdm2,0.0008
28-06-2025,pzp6e,0.0012
28-06-2025,e66qm,0.0002
28-06-2025,qdvhd,0.0001
28-06-2025,bkfrj,0.0010
28-06-2025,2fq7c,0.0213
28-06-2025,snjp4,0.0000
28-06-2025,shefu,0.0004
28-06-2025,csyj4,0.0002
28-06-2025,3hhby,0.0093
28-06-2025,k44fs,0.0037
28-06-2025,x33ed,0.0007
28-06-2025,yinp6,0.0005
28-06-2025,w4asl,0.0015
28-06-2025,mpubz,0.0003
28-06-2025,fuqsr,0.0023
28-06-2025,w4rem,0.0002
28-06-2025,cv73p,0.0010
28-06-2025,pae4o,0.0002
28-06-2025,tdb26,0.0016
28-06-2025,qxesv,0.0018
28-06-2025,lspz2,0.0001
28-06-2025,jtdsg,0.0003
29-06-2025,brlsh,0.0005
29-06-2025,o3ow2,0.0027
29-06-2025,4ecnw,0.0000
29-06-2025,opn46,0.0031
29-06-2025,lhg73,0.0003
29-06-2025,nl6hn,0.0025
29-06-2025,io67a,0.0004
29-06-2025,ejbmu,0.0000
29-06-2025,gmq5v,0.0017
29-06-2025,6pbhf,0.0010
29-06-2025,eq6en,0.0138
29-06-2025,pjljw,0.0051
29-06-2025,4zbus,0.0029
29-06-2025,uzr34,0.0013
29-06-2025,5kdm2,0.0004
29-06-2025,pzp6e,0.0012
