node-operator-principal,type0,type1,type2
t37p3-2557c-vnn75-vn4xk-3x7kp-6nh4c-e4pv2-bhlnv-ee4f5-7chq4-rae,0,28,0
5bnm2-ul7nx-s2xfc-3mzzu-2yfyz-lu2xp-65epq-43o3y-qs7y3-jv2uc-yae,0,28,0
tcn4t-xktz4-qm6yk-udidk-m5ays-paeqx-xaevx-hb3fj-nvocf-vr5yq-yqe,0,14,0
d4bin-5o2wg-ycbdq-yljr7-45pjv-ptf6d-v243j-vg6x5-dlo7t-yqu62-5qe,0,28,0
qffmn-uqkl2-uuw6l-jo5i6-obdek-tix6f-u4odv-j3265-pcpcn-jy5le-lae,0,14,0
5mhxl-exk6r-cvm3q-ose77-qojd2-dybc4-hvrdj-5dnr6-ylvg7-wtn23-2qe,0,28,0
4ohfd-bdyeu-5djlz-rf3lc-bqca2-h22rg-t5ipt-cjhl2-r5dbf-tk3fv-hae,0,28,0
ciprs-d7ktn-eiqrv-pqbcf-npk57-ty4m3-npkk2-yu4en-d4ccs-ek5xw-dae,0,28,0
tisgk-lbq4u-zxwec-ak7ze-6ngg3-tjxhb-wasri-ska3d-ro6by-ba7vc-5ae,0,14,0
yngfj-akg4s-nectt-whzgk-5zqbw-z3e5u-zuycn-zqygi-xz4vt-244v6-zae,0,28,0
5atxd-q4jom-dtpxr-awd3p-e562x-hpavj-godtj-g6vmz-of2c6-ildhh-fae,0,28,0
sambh-2izbh-p3bex-lamdj-retvw-g2uob-nptqo-bhcng-k6w44-vzenu-5ae,0,28,0
it7v7-gb556-xhrhm-aaprs-ou5tu-evlk7-u5u2e-cvl5h-7lw6s-httyn-zqe,0,14,0
lz4fy-gca6y-aodk3-ncdrw-ouoqb-kgvjj-h4nul-eybyu-puwev-hkogp-fqe,0,28,0
c5ssg-eh22p-pmsn6-fpjzj-k5nql-mx5mc-7gb4a-4klco-c4f37-ydnfp-bae,0,28,0
eikix-bqjrk-7eadr-nvgoa-drao2-2t54l-kfbs2-34gdr-sbssy-ir4rj-rae,0,28,0
yl63e-n74ks-fnefm-einyj-kwqot-7nkim-g5rq4-ctn3h-3ee6h-24fe4-uqe,0,28,0
zw23o-xkqni-t4qi5-hqsrm-x4vur-dbx7x-2nvwd-cr23t-d7rxb-r5rm6-rqe,0,13,0
xuq7m-xfk5g-msojg-4qr6z-zvpen-4ebih-rr77r-iwtft-tit77-ysghp-gqe,15,0,0
pgunx-7pdft-jwvuo-j65kd-2mdxl-bi3r7-znv4c-vw2q3-2gno4-2uoeg-wqe,0,28,0
6oxlv-umuxh-6cvbh-ldske-gafq4-5bcq4-4dfow-x7ytv-szjd2-jr3vr-oae,0,28,0
4lp6i-khv7q-lkgk3-hhrc6-ysjag-korh7-ysojw-7gv3h-glhdz-rpjrt-sqe,0,28,0
feb2q-mgxwe-okz7r-juws2-mahg4-wflqu-oeflf-kvh4r-qaqit-hbqpg-uqe,0,14,0
mjeqs-wxqp7-tecvn-77uxe-eowch-4l4gy-6lc6f-ys6je-qnybm-5fxya-qqe,0,28,0
oorkg-ilned-36bwb-vyprm-56g55-hp6xq-gucq3-fmn2i-44a4e-txzlp-gqe,0,14,0
cqjev-4qb7l-xv373-jfmhi-73n3a-cxhst-p6okb-vywwc-a4zbi-6sf3u-bae,0,28,0
dpt4y-mkhk4-7gchc-yx2by-hzfe6-czv2t-xebyb-as4q3-gkspj-ivvsv-hae,0,28,0
a5glg-n6ul6-rkuc7-idthk-fb2fe-d5m75-4g4l7-22yko-h27pr-q3a7k-lae,0,14,0
wmrev-cdq34-iqwdm-oeaak-f6kch-s4axw-ojbhe-yuolf-bazh4-rjdty-oae,0,28,0
vkwql-433e7-au6b7-v5g7z-tduiu-no4od-6wb4c-z5zru-vzssq-zwspo-dqe,0,28,0
u4f3y-wubbf-lxfqi-v43pp-dfp7e-gxxct-22r5h-6mcbw-vmj33-5qqv5-nae,0,14,0
anodw-youcx-pycyh-tkyat-znvdz-rtmop-t7tpo-pyrcn-nuzzw-qp35i-2ae,0,14,0
paxme-ikvh3-v6cve-in3jx-z6xf2-x67nq-4yqf5-ufdag-c7os3-byb4f-cae,0,28,0
gl27f-y5srq-yy5ot-v4x5z-y2a2s-sgoor-l4gjg-qv4x4-v2olb-dz4dc-wae,0,28,0
3xiew-2wo3x-tnbn2-o7kok-wwsnw-7koo2-gna5r-rlrt3-zotsh-dwpg6-kae,0,28,0
3nu7r-l6i5c-jlmhi-fmmhm-4wcw4-ndlwb-yovrx-o3wxh-suzew-hvbbo-7qe,0,28,0
codio-e5e6p-ol6sn-o3mgw-r7v5p-4jmch-a7exl-7pifz-cw4gn-ah47y-6ae,0,28,0
5syyj-syqbw-ubz3m-f4lkg-u7v2j-madhv-3s4vx-yl67f-bets5-xmrbf-zae,0,14,0
bmlhw-kinr6-7cyv5-3o3v6-ic6tw-pnzk3-jycod-6d7sw-owaft-3b6k3-kqe,0,14,0
nj365-76cya-vjwgn-vyuxb-y74nh-bhlti-l6mzp-5efbh-u7nld-5jeba-kae,0,14,0
redpf-rrb5x-sa2it-zhbh7-q2fsp-bqlwz-4mf4y-tgxmj-g5y7p-ezjtj-5qe,0,28,0
pi3wm-ofu73-5wyma-gec6p-lplqp-6euwt-c5jjb-pwaey-gxmlr-rzqmk-xqe,0,13,0
6loud-jt6ip-7eml7-u7mb3-u22m6-hp556-hkgui-7mbkm-iryaz-oevxd-eae,0,0,0
5kvuu-mc2kg-6qogt-63hrg-7msak-kpo4q-k7yxa-43aqt-bqmyh-tuxeq-rqe,0,0,0
bkbzh-254il-fnyid-i6lz4-eg5vs-gl7tn-mrhlq-j5qth-zxxks-iggg6-eae,0,0,0
ab7mi-3veeb-rm5nj-cljef-nysnm-3ohfg-7wvda-pez7t-las47-wo6za-jae,0,0,0
iqx33-giky3-5mgi5-5vggc-5tyoc-tonpn-pxn6t-7jrrf-3apjz-6bsf2-sae,0,0,0
lgfor-6hknd-vdybo-hfahv-bv5jb-m7ajk-dlwxl-omm6f-ehvkf-k57bl-5qe,0,0,0
4sslu-4unjl-slto2-g4yzi-2sc5z-vnqn3-upyha-lo7cb-u4rhj-h37ug-aqe,0,0,0
mggfn-mkpex-vf5i3-yvh2f-4nndb-ab5uo-kbjct-3knnr-ttdnz-vzis3-aqe,0,0,0
zl44g-e4nhb-o466l-3vvza-f24qv-ph42z-itn5r-rjzfk-dcddc-ehtnf-wae,0,0,0
fv6gw-axucj-upche-ruqwv-wwpg7-a2mrr-7syyo-vosk3-n33d5-f76am-3qe,0,0,0
hwqrd-3jtl3-cezs5-djz4d-66jzq-s7yo6-mnhu4-bxwr7-7zhpl-hmk4s-7ae,0,0,0
d3tbz-mmx4d-n3wog-2qizt-scc6g-yk34o-eax56-3gvw2-p5fkl-n7ilf-3qe,0,0,0
6kijh-dth6f-r2s4w-cbg37-54hv2-3acft-3ceh6-lb67u-5zrem-lk7mi-iqe,0,0,0
ro7xv-qzzmk-sd7hw-uanhl-fsijk-mdlyw-h4536-a5qos-2ntz7-px22g-6qe,0,0,0
xxswn-iq3ne-oay4w-5aoec-euj5g-27h2d-vqvqu-vcw4s-ms35g-2q7lx-7ae,0,0,0
bhfqt-hei2j-iaci3-mmu64-3vcir-atm2q-x3lk5-d66ze-6dztt-rsfa4-oae,0,0,0
stsr3-mp5fe-aovow-cfpsx-llwox-lclye-3b4iz-5ngbp-plih6-b5ymw-4ae,0,0,0
wp6qv-vnqsk-h776k-t7ink-2qpyi-sowym-sp5iu-q45pr-pa2fy-xv42g-3ae,0,0,0
4r57v-7tzge-ht3l5-7oy7w-h7a77-ejrl6-7xevk-gzqjo-ck5kw-7kfjh-3ae,0,0,0
wnca2-grvnb-wsd4a-b7h5z-iepws-t7rdb-ccdp6-5sgoi-svn4d-vm6no-oae,0,0,0
gmjgz-msapm-tye3z-ranay-6cbit-as2gz-qk4id-ijffv-c5fuy-tlnpz-vqe,0,0,0
sm6rh-sldoa-opp4o-d7ckn-y4r2g-eoqhv-nymok-teuto-4e5ep-yt6ky-bqe,0,0,0
rzskv-pde6u-albub-bojhe-odunj-k3nnf-j2eag-akkjm-o3ydz-z5tcy-vae,0,0,0
byspq-73pbj-e44pb-5gq3o-a6sqa-p3p3l-blq2j-dtjup-77zyx-k26zh-aae,0,0,0
s7dud-dfedw-dmrax-rjvop-5k4qw-htm4w-gj7ak-j2itz-txwwn-o5ymv-tae,0,0,0
oa3sb-m5gwt-ld4dd-sqi3x-wh47g-lqot6-ps3um-afi3z-7cyuy-57mdg-iae,0,0,0
wqyl3-uvtrm-5lhi3-rjcas-ntrhs-bimkv-viu7b-2tff6-ervao-u2cjg-wqe,0,0,0
vqe65-zvwhc-x7bw7-76c74-3dc6v-v6uzb-nyfvb-6wgnv-nhiew-fkoug-oqe,0,0,0
hfjum-y6koo-ux5qc-ona6f-mdzx2-p2ohq-divm7-jfejp-4got3-6ycro-jae,0,0,0
y4c7z-5wyt7-h4dtr-s77cd-t5pue-ajl7h-65ct4-ab5dr-fjaqa-x63kh-xqe,0,0,0
xcne4-m67do-bnrkt-ny5xy-gxepb-5jycf-kcuvt-bdmh6-w565c-fvmdo-oae,0,0,0
lgp6d-brhlv-35izu-khc6p-rfszo-zdwng-xbtkh-xyvjg-y3due-7ha7t-uae,0,28,0
ht6h4-pyat4-42ltb-7mgc5-ws3yx-nekxf-bp3ch-kwhou-bihtm-sqads-fae,0,1,0
f7clk-cqbbh-vh4nn-j2max-6n5sz-nfzex-4vbko-bwrmw-ab4kc-iuvyw-5ae,0,1,0
queaw-cyb3x-xb7pe-xo5ob-vliyi-3vxyo-sr6mt-uj4bz-pxto3-fjtun-oqe,0,1,0
njerl-pygzr-qrdgc-u3zyq-crkfa-6dl4r-cugcy-ngel2-zv34p-dcfer-4qe,0,1,0
ioppm-rihvy-vamnl-764c4-7fti4-d3m27-44qfw-f4tfu-ttwym-72jeh-3ae,0,1,0
mf46f-eyjly-uej72-7dcbv-34moa-vqsaf-nmnhp-d6y5q-qeqww-2cudy-wqe,0,1,0
xzuzh-oap4d-jju3m-bdl73-ke3vh-lfqcg-sz65x-h3xti-ja2ky-m3zfz-bae,0,1,0
bvnyd-3itpm-tarrm-b6sq5-sedip-b7b7n-i7ucn-waeay-hvu62-kvo5z-hae,0,1,0
rgsm5-5q6ja-ddhpo-27svt-ydpdw-dsatz-rywd3-as632-5zvfr-4ny7w-eqe,0,1,0
xm7vc-4i6zy-hnpkx-jdwdg-yf7nh-vwthj-mpswp-cqimx-k2ryw-w42d7-oae,0,1,0
wwwvw-t2oau-3ewjc-wycjp-awe6t-6el3g-m3r6h-zlmsw-o5spd-2uz3d-xae,0,1,0
vq7qm-ldbih-7rqeg-f3a3o-5gyko-tyrth-xajz7-cfaso-f7pqk-xyr77-zqe,0,1,0
fhpzr-q3cev-mfu3f-icrmt-n6hj4-v2anh-b4qhx-cccpl-3ybjo-wxe55-tae,0,1,0
q53qj-y3k2h-uakr7-k4jzx-kqb4i-g53t2-6qleb-erpki-7nvkg-3dvj3-tae,0,1,0
2nei3-l3s6j-pfker-ou6pb-jt7ys-zhbxq-w56vx-sja5w-dmacz-2qbls-jqe,0,1,0
7sey3-jmnqn-3iwk6-ehcsu-udp5j-3o7oh-rfw6n-pwzyo-rsx2a-ojqpx-jae,0,1,0
kvnvd-mexzc-qgg7h-kbdw7-5j4fr-ywgxz-lyerf-cbplt-auxts-ktk2t-eae,0,1,0
zm2ld-enbp4-5ij23-o6b5h-hbyfg-twdab-bq6cj-47hqs-33jsa-veegu-nae,0,1,0
y5mdh-t5mim-svhck-7krmk-j3jdo-tbq4f-2rdu7-teah7-hj2jj-k655a-7ae,0,1,0
wm2o4-mvs7v-n2i3j-pe36a-hxpew-ltgvr-cmcp2-35j22-xq3om-bit6m-2ae,0,1,0
xtkxu-j5wx2-uevpv-k2ygl-o7v4m-esaej-v367s-ypdux-yp24c-7kzlz-pae,0,1,0
gmmxo-qfzon-t53cx-ak5x2-rktws-2epof-77jo4-zybf6-xhrce-yf7rg-lae,0,1,0
hlg6u-mgepv-smgeg-e6yl7-rcxyn-elxcc-z6pbd-2a6en-pqcmd-p4thp-4ae,0,1,0
qxvzs-m6mkh-23eev-enptb-3bkq2-bss2b-gpwmd-imgep-afam5-cmqd4-eae,0,1,0
a2uto-s6sh3-shzqr-t6bhe-3bdub-7rvtw-rshps-7cjgb-dyo2k-xw3ir-xae,0,1,0
ynxfs-ho4a7-okfhp-d2mkm-4mmjl-s3bvh-h3i5v-jb4kb-6u6yp-4fqo2-rqe,0,1,0
3cczl-ww4eq-tas2b-z6u33-r7gzw-cftly-wdjs2-3lluv-rkqot-xrm3v-dae,0,1,0
75moh-chpgq-5c245-nloyb-l2fge-6lbr2-dkxil-rpppz-tnkad-yfvzi-6qe,0,1,0
